# freq 	 sqrt(Sn)
1.352428e+01	3.320130e-25
1.355546e+01	3.304189e-25
1.358672e+01	3.288419e-25
1.361805e+01	3.272817e-25
1.364946e+01	3.257382e-25
1.368093e+01	3.242112e-25
1.371248e+01	3.227005e-25
1.374410e+01	3.212060e-25
1.377580e+01	3.197274e-25
1.380756e+01	3.182647e-25
1.383940e+01	3.168175e-25
1.387132e+01	3.153859e-25
1.390330e+01	3.139695e-25
1.393537e+01	3.125683e-25
1.396750e+01	3.111820e-25
1.399971e+01	3.098105e-25
1.403199e+01	3.084537e-25
1.406435e+01	3.071113e-25
1.409678e+01	3.057832e-25
1.412929e+01	3.044693e-25
1.416187e+01	3.031694e-25
1.419453e+01	3.018832e-25
1.422726e+01	3.006108e-25
1.426007e+01	2.993519e-25
1.429296e+01	2.981064e-25
1.432592e+01	2.968740e-25
1.435895e+01	2.956548e-25
1.439206e+01	2.944484e-25
1.442525e+01	2.932549e-25
1.445852e+01	2.920739e-25
1.449186e+01	2.909054e-25
1.452528e+01	2.897493e-25
1.455877e+01	2.886053e-25
1.459234e+01	2.874734e-25
1.462599e+01	2.863534e-25
1.465972e+01	2.852452e-25
1.469353e+01	2.841487e-25
1.472741e+01	2.830636e-25
1.476137e+01	2.819899e-25
1.479541e+01	2.809274e-25
1.482953e+01	2.798761e-25
1.486373e+01	2.788357e-25
1.489800e+01	2.778062e-25
1.493236e+01	2.767874e-25
1.496679e+01	2.757792e-25
1.500131e+01	2.747815e-25
1.503590e+01	2.737942e-25
1.507057e+01	2.728171e-25
1.510532e+01	2.718501e-25
1.514016e+01	2.708931e-25
1.517507e+01	2.699460e-25
1.521007e+01	2.690087e-25
1.524514e+01	2.680811e-25
1.528030e+01	2.671629e-25
1.531553e+01	2.662543e-25
1.535085e+01	2.653549e-25
1.538625e+01	2.644648e-25
1.542173e+01	2.635837e-25
1.545729e+01	2.627117e-25
1.549294e+01	2.618486e-25
1.552866e+01	2.609943e-25
1.556447e+01	2.601487e-25
1.560036e+01	2.593117e-25
1.563634e+01	2.584831e-25
1.567240e+01	2.576630e-25
1.570854e+01	2.568512e-25
1.574476e+01	2.560476e-25
1.578107e+01	2.552521e-25
1.581746e+01	2.544646e-25
1.585393e+01	2.536851e-25
1.589049e+01	2.529134e-25
1.592714e+01	2.521494e-25
1.596387e+01	2.513931e-25
1.600068e+01	2.506444e-25
1.603758e+01	2.499031e-25
1.607456e+01	2.491693e-25
1.611163e+01	2.484427e-25
1.614878e+01	2.477234e-25
1.618602e+01	2.470112e-25
1.622334e+01	2.463061e-25
1.626076e+01	2.456080e-25
1.629825e+01	2.449168e-25
1.633584e+01	2.442324e-25
1.637351e+01	2.435548e-25
1.641127e+01	2.428839e-25
1.644911e+01	2.422195e-25
1.648704e+01	2.415617e-25
1.652506e+01	2.409103e-25
1.656317e+01	2.402653e-25
1.660136e+01	2.396266e-25
1.663965e+01	2.389941e-25
1.667802e+01	2.383678e-25
1.671648e+01	2.377476e-25
1.675502e+01	2.371334e-25
1.679366e+01	2.365252e-25
1.683239e+01	2.359229e-25
1.687120e+01	2.353264e-25
1.691011e+01	2.347356e-25
1.694910e+01	2.341505e-25
1.698819e+01	2.335711e-25
1.702736e+01	2.329973e-25
1.706663e+01	2.324289e-25
1.710598e+01	2.318660e-25
1.714543e+01	2.313085e-25
1.718497e+01	2.307563e-25
1.722460e+01	2.302094e-25
1.726432e+01	2.296676e-25
1.730413e+01	2.291311e-25
1.734403e+01	2.285996e-25
1.738403e+01	2.280731e-25
1.742412e+01	2.275517e-25
1.746429e+01	2.270351e-25
1.750457e+01	2.265234e-25
1.754493e+01	2.260166e-25
1.758539e+01	2.255145e-25
1.762595e+01	2.250171e-25
1.766659e+01	2.245244e-25
1.770733e+01	2.240362e-25
1.774816e+01	2.235527e-25
1.778909e+01	2.230736e-25
1.783011e+01	2.225990e-25
1.787123e+01	2.221288e-25
1.791244e+01	2.216630e-25
1.795375e+01	2.212015e-25
1.799515e+01	2.207442e-25
1.803664e+01	2.202912e-25
1.807824e+01	2.198423e-25
1.811992e+01	2.193976e-25
1.816171e+01	2.189570e-25
1.820359e+01	2.185203e-25
1.824557e+01	2.180877e-25
1.828764e+01	2.176590e-25
1.832981e+01	2.172343e-25
1.837208e+01	2.168134e-25
1.841445e+01	2.163963e-25
1.845691e+01	2.159830e-25
1.849948e+01	2.155735e-25
1.854213e+01	2.151676e-25
1.858489e+01	2.147654e-25
1.862775e+01	2.143669e-25
1.867071e+01	2.139719e-25
1.871376e+01	2.135804e-25
1.875691e+01	2.131925e-25
1.880017e+01	2.128080e-25
1.884352e+01	2.124269e-25
1.888697e+01	2.120493e-25
1.893053e+01	2.116750e-25
1.897418e+01	2.113040e-25
1.901794e+01	2.109363e-25
1.906179e+01	2.105719e-25
1.910575e+01	2.102107e-25
1.914981e+01	2.098526e-25
1.919397e+01	2.094977e-25
1.923823e+01	2.091459e-25
1.928259e+01	2.087972e-25
1.932706e+01	2.084516e-25
1.937163e+01	2.081089e-25
1.941630e+01	2.077693e-25
1.946107e+01	2.074326e-25
1.950595e+01	2.070988e-25
1.955093e+01	2.067679e-25
1.959601e+01	2.064399e-25
1.964120e+01	2.061146e-25
1.968650e+01	2.057922e-25
1.973189e+01	2.054726e-25
1.977739e+01	2.051557e-25
1.982300e+01	2.048415e-25
1.986871e+01	2.045299e-25
1.991453e+01	2.042211e-25
1.996045e+01	2.039148e-25
2.000648e+01	2.036112e-25
2.005262e+01	2.033102e-25
2.009886e+01	2.030116e-25
2.014521e+01	2.027156e-25
2.019166e+01	2.024221e-25
2.023822e+01	2.021311e-25
2.028489e+01	2.018424e-25
2.033167e+01	2.015562e-25
2.037856e+01	2.012724e-25
2.042555e+01	2.009910e-25
2.047265e+01	2.007119e-25
2.051986e+01	2.004351e-25
2.056718e+01	2.001606e-25
2.061461e+01	1.998883e-25
2.066214e+01	1.996184e-25
2.070979e+01	1.993506e-25
2.075755e+01	1.990850e-25
2.080542e+01	1.988216e-25
2.085339e+01	1.985604e-25
2.090148e+01	1.983013e-25
2.094968e+01	1.980442e-25
2.099799e+01	1.977893e-25
2.104641e+01	1.975365e-25
2.109494e+01	1.972856e-25
2.114359e+01	1.970369e-25
2.119235e+01	1.967901e-25
2.124122e+01	1.965452e-25
2.129020e+01	1.963024e-25
2.133929e+01	1.960615e-25
2.138850e+01	1.958225e-25
2.143783e+01	1.955854e-25
2.148726e+01	1.953502e-25
2.153681e+01	1.951169e-25
2.158648e+01	1.948854e-25
2.163625e+01	1.946557e-25
2.168615e+01	1.944279e-25
2.173616e+01	1.942018e-25
2.178628e+01	1.939775e-25
2.183652e+01	1.937550e-25
2.188687e+01	1.935342e-25
2.193735e+01	1.933151e-25
2.198793e+01	1.930977e-25
2.203864e+01	1.928820e-25
2.208946e+01	1.926679e-25
2.214040e+01	1.924555e-25
2.219145e+01	1.922448e-25
2.224263e+01	1.920356e-25
2.229392e+01	1.918281e-25
2.234533e+01	1.916222e-25
2.239686e+01	1.914178e-25
2.244850e+01	1.912150e-25
2.250027e+01	1.910137e-25
2.255216e+01	1.908139e-25
2.260416e+01	1.906157e-25
2.265629e+01	1.904189e-25
2.270853e+01	1.902236e-25
2.276090e+01	1.900298e-25
2.281339e+01	1.898374e-25
2.286599e+01	1.896465e-25
2.291872e+01	1.894570e-25
2.297157e+01	1.892689e-25
2.302455e+01	1.890822e-25
2.307764e+01	1.888968e-25
2.313086e+01	1.887129e-25
2.318420e+01	1.885303e-25
2.323766e+01	1.883490e-25
2.329125e+01	1.881691e-25
2.334496e+01	1.879904e-25
2.339879e+01	1.878131e-25
2.345275e+01	1.876371e-25
2.350683e+01	1.874623e-25
2.356104e+01	1.872888e-25
2.361537e+01	1.871166e-25
2.366983e+01	1.869456e-25
2.372441e+01	1.867758e-25
2.377912e+01	1.866073e-25
2.383395e+01	1.864399e-25
2.388891e+01	1.862738e-25
2.394400e+01	1.861088e-25
2.399922e+01	1.859450e-25
2.405456e+01	1.857824e-25
2.411003e+01	1.856209e-25
2.416563e+01	1.854606e-25
2.422135e+01	1.853013e-25
2.427721e+01	1.851432e-25
2.433319e+01	1.849862e-25
2.438930e+01	1.848303e-25
2.444555e+01	1.846755e-25
2.450192e+01	1.845218e-25
2.455842e+01	1.843691e-25
2.461505e+01	1.842175e-25
2.467181e+01	1.840669e-25
2.472871e+01	1.839174e-25
2.478573e+01	1.837689e-25
2.484289e+01	1.836214e-25
2.490018e+01	1.834749e-25
2.495760e+01	1.833294e-25
2.501515e+01	1.831849e-25
2.507283e+01	1.830414e-25
2.513065e+01	1.828989e-25
2.518860e+01	1.827573e-25
2.524669e+01	1.826166e-25
2.530491e+01	1.824770e-25
2.536326e+01	1.823382e-25
2.542175e+01	1.822004e-25
2.548037e+01	1.820635e-25
2.553913e+01	1.819275e-25
2.559802e+01	1.817924e-25
2.565705e+01	1.816583e-25
2.571622e+01	1.815250e-25
2.577552e+01	1.813925e-25
2.583496e+01	1.812610e-25
2.589453e+01	1.811303e-25
2.595425e+01	1.810005e-25
2.601410e+01	1.808715e-25
2.607409e+01	1.807433e-25
2.613421e+01	1.806160e-25
2.619448e+01	1.804896e-25
2.625488e+01	1.803639e-25
2.631543e+01	1.802390e-25
2.637611e+01	1.801150e-25
2.643693e+01	1.799917e-25
2.649790e+01	1.798693e-25
2.655900e+01	1.797476e-25
2.662025e+01	1.796267e-25
2.668163e+01	1.795066e-25
2.674316e+01	1.793872e-25
2.680483e+01	1.792686e-25
2.686664e+01	1.791507e-25
2.692860e+01	1.790336e-25
2.699070e+01	1.789172e-25
2.705294e+01	1.788015e-25
2.711532e+01	1.786866e-25
2.717785e+01	1.785724e-25
2.724052e+01	1.784589e-25
2.730334e+01	1.783461e-25
2.736630e+01	1.782340e-25
2.742941e+01	1.781226e-25
2.749266e+01	1.780119e-25
2.755606e+01	1.779019e-25
2.761960e+01	1.777925e-25
2.768329e+01	1.776838e-25
2.774713e+01	1.775758e-25
2.781112e+01	1.774684e-25
2.787525e+01	1.773617e-25
2.793953e+01	1.772557e-25
2.800396e+01	1.771503e-25
2.806854e+01	1.770455e-25
2.813326e+01	1.769414e-25
2.819814e+01	1.768378e-25
2.826316e+01	1.767350e-25
2.832834e+01	1.766327e-25
2.839366e+01	1.765310e-25
2.845914e+01	1.764300e-25
2.852477e+01	1.763295e-25
2.859054e+01	1.762297e-25
2.865647e+01	1.761304e-25
2.872256e+01	1.760317e-25
2.878879e+01	1.759336e-25
2.885518e+01	1.758361e-25
2.892172e+01	1.757392e-25
2.898841e+01	1.756428e-25
2.905526e+01	1.755470e-25
2.912226e+01	1.754518e-25
2.918942e+01	1.753571e-25
2.925673e+01	1.752629e-25
2.932419e+01	1.751693e-25
2.939182e+01	1.750763e-25
2.945959e+01	1.749838e-25
2.952753e+01	1.748918e-25
2.959562e+01	1.748003e-25
2.966387e+01	1.747094e-25
2.973227e+01	1.746190e-25
2.980083e+01	1.745291e-25
2.986955e+01	1.744397e-25
2.993843e+01	1.743509e-25
3.000747e+01	1.742625e-25
3.007667e+01	1.741747e-25
3.014603e+01	1.740873e-25
3.021554e+01	1.740004e-25
3.028522e+01	1.739141e-25
3.035506e+01	1.738282e-25
3.042506e+01	1.737428e-25
3.049522e+01	1.736579e-25
3.056554e+01	1.735734e-25
3.063603e+01	1.734894e-25
3.070667e+01	1.734059e-25
3.077748e+01	1.733229e-25
3.084846e+01	1.732403e-25
3.091959e+01	1.731581e-25
3.099089e+01	1.730765e-25
3.106236e+01	1.729952e-25
3.113399e+01	1.729145e-25
3.120578e+01	1.728341e-25
3.127774e+01	1.727542e-25
3.134987e+01	1.726748e-25
3.142216e+01	1.725958e-25
3.149462e+01	1.725172e-25
3.156725e+01	1.724390e-25
3.164005e+01	1.723613e-25
